"Pattern","Replacement","Explanation","Date"
"(^k)a(?=[cpbtdkgmnfvszljrʀδŋçx]r?[aeouiyɛɔəāōēīūăŏĕĭŭ])","\1e","inital palatal+unaccentuated a open syllable > e","500"
"(^[cpbtdkgmnfvszljrʀδŋçx])ɔ(?!́)","\1o","ɔ>e initial unaccentuated syllable","500"
"([aeouiyɛɔəāōēīūăŏĕĭŭ][cpbtdkgmnfvszljrʀδŋçx]+)a(?=[cpbtdkgmnfvszljrʀδŋçx]r?[aeouiyɛɔəāōēīūăŏĕĭŭ]́)","\1ə","internal a before accentuated syllable>ə","500"
"([aeouiyɛɔəāōēīūăŏĕĭŭ][rns]?[cpbtdkgmnfvszljrʀδŋçx]+)[eouɛɔ](?=[cpbtdkgmnfvszljrʀδŋçx]r?[aeouiyɛɔəāōēīūăŏĕĭŭ]́)","(\1)","internal vowels other than a before accentuated syllable>zero","500"
"([aeouiyɛɔəāōēīūăŏĕĭŭ][rns]?[cpbtdkgmnfvszljrʀδŋçx]r+)[eouɛɔ](?=[cpbtdkgmnfvszljrʀδŋçx]r?[aeouiyɛɔəāōēīūăŏĕĭŭ]́)","(\1)ə","internal vowels other than a before accentuated syllable and after 2 consonants>ə","500"
"([aeouiyɛɔəāōēīūăŏĕĭŭ]́?̯?)d(?=[aeouiyɛɔəāōēīūăŏĕĭŭ])","\1δ","intervocalic d>δ","500"
"([aeouiyɛɔəāōēīūăŏĕĭŭ]́?̯?)dr(?=[aeouiyɛɔəāōēīūăŏĕĭŭ])","\1δr","intervocalic dr>δr","500"
"(?<=̬)éi̯","í","éi̯ > éi̯ after palatal consonant","510"
"áɛ̯(?=[nm])","ái̯","áɛ+n,m > ái̯","590"
"íɛ(?=[cpbtdkgmnfvszljrʀδŋçx]?r?[aeouiyɛɔəāōēīūăŏĕĭŭ]|$)","íe","open syllable íɛ>íe","600"
"úɔ(?=[cpbtdkgmnfvszljrʀδŋçx]?r?[aeouiyɛɔəāōēīūăŏĕĭŭ]|$)","úo","open syllable úɔ>úo","600"
"áɛ̯(?=[cpbtdkgmnfvszljrʀδŋçx]?r?[aeouiyɛɔəāōēīūăŏĕĭŭ]|$)","ɛ́","open syllable áɛ̯>ɛ́","600"
"íɛ̯(?=j[cpbtdkgmnfvszljrʀδŋçx])","íe̯","íɛ̯+j closed syllable>íe̯","600"
"úɔ̯(?=j[cpbtdkgmnfvszljrʀδŋçx])","úo̯","úɔ̯+j closed syllable>úo̯","600"
"a(?=[cpbtdkgmnfvszljrʀδŋçx]?$)","ə","final a>ə","600"
"(?<=[cpbtdkgmnfvszjrʀδŋçx][lrmn])[eouɛɔ](?=[cpbtdkgmnfvszljrʀδŋçx]?$)","ə","Vowel in final syllable other than a after cons+l,r,m,n>ə","600"
"(?<![cpbtdkgmnfvszjrʀδŋçx][lrmn])[eouɛɔ](?=[cpbtdkgmnfvszljrʀδŋçx]?$)","","Vowel in final syllable other than a>zero","600"
"[dδ]s$","ts","d, δ before s final>t","600"
"[pv](?=[st])","f","p, v before s, t >f","600"
"m(?=[st])","n","m before s, t >n","600"
"([cpbtdkgmnfvszljrʀδŋçx]̬?)\1","\1","simplification of double consonants","600"
"ts̬","ts","ts̬ > ts","600"
"(cpbtdkgmnfvszljrʀδŋçx)ts̬","\1ts","ts̬ > ts after consonants","600"
"(aeouiyɛɔəāōēīūăŏĕĭŭ)jdz̬(?=aeouiyɛɔəāōēīūăŏĕĭŭ)","\1i̬dz","intervocalic jdz̬ >i̬dz","600"
"dʒ̬","dʒ","dʒ̬ > dʒ","600"
"tʃ̬","tʃ","tʃ̬ > tʃ","600"
"jz̬","i̯z","jz̬ > i̯z","600"
"js̬s̬","i̯z","js̬s̬ > i̯s","600"
"jr̬","i̯r","jr̬ > i̯r","600"
"[tdδ](?=t)","t","t, d, δ before t>tt","610"
"n̬$","i̯n̬","final n̬ > i̯n̬","610"
"tt","t","tt>t","620"
"ɛ(́?)(?=[nm])","e\1","ɛ+n,m > e","650"
"ɔ(́?)(?=[nm])","o\1","ɔ+n,m > o","650"
"b$","p","final b>p","650"
"d$","t","final d>t","650"
"g$","k","final g>k","650"
"δ$","θ","final δ>θ","650"
"v$","f","final v>f","650"
"z$","s","final z>s","650"
"([cpbtdkgmnfvszljrʀδŋçx])u(?=́?[cpbtdkgmnfvszljrʀδŋçx])","\1y","u>y","700"
"l(?=[cpbtdkgmnfvszjrʀδŋçx])","lˠ","l>lˠ before consonant","700"
"íe̯j(?=[cpbtdkgmnfvszljrʀδŋçx])","í","íe̯j closed syllable>í","800"
"úo̯j(?=[cpbtdkgmnfvszljrʀδŋçx])","ýi̯","úo̯j closed syllable>ýi̯","800"
"([aeouiyɛɔəāōēīūăŏĕĭŭ]́?̯?)[tθ]$","\1","final t or θ after vowel>zero","800"
"([aeouiyɛɔəāōēīūăŏĕĭŭ]́?̯?)δ(?=[aeouiyɛɔəāōēīūăŏĕĭŭ])","\1","intervocalic δ>zero","800"
"([aeouiyɛɔəāōēīūăŏĕĭŭ]́?̯?)δr(?=[aeouiyɛɔəāōēīūăŏĕĭŭ])","\1r","intervocalic δr>r","800"
"f(=[st])","","f before s, t >zero","800"
"([aeouiyɛɔəāōēīūăŏĕĭŭ])j(?=[aeouiyɛɔəāōēīūăŏĕĭŭ])","\1i̯","diphtongaison of intervocalic j","800"
"(?<=[aeouiyɛɔəāōēīūăŏĕĭŭ])(́?)jr̬(?=[aeouiyɛɔəāōēīūăŏĕĭŭ])","i̯r","intervocalic jr̬ > i̯r","800"
"j([st])","i̯\1","j+ t,s > i̯","800"
"ái̯(?=[nm])","áĩ̯","ái̯+n,m > áĩ̯","900"
"éi̯(?=[nm])","éĩ̯","éi̯+n,m > éĩ̯","900"
"óu̯(?=[nm])","óũ̯","óu̯ + n,m> óũ̯","900"
"íe(?=[nm])","íẽ","íe + n,m> íẽ","900"
"úo(?=[nm])","úõ","úo + n,m> úõ","900"
"ói̯(?=[nm])","óĩ̯","ói̯ + n,m> óĩ̯","900"
"m$","n","final m>n in monosyllabic","900"
"ɛ́(?=[cpbtdkgmnfvszljrʀδŋçx]?r?[aeouiyɛɔəāōēīūăŏĕĭŭ]|$)","é","open syllable ɛ́>é","1000"
"(^k)e(?=[cpbtdkgmnfvszljrʀδŋçx]r?[aeouiyɛɔəāōēīūăŏĕĭŭ])","\1ə","inital palatal+unaccentuatede open syllable > ə","1000"
"(^[cpbtdkgmnfvszljrʀδŋçx])a(?=[aeouiyɛɔəāōēīūăŏĕĭŭ])","\1ə","a in hiatus initial unaccentuated syllable>ə","1000"
"(^[cpbtdkgmnfvszljrʀδŋçx])e(?=[cpbtdkgmnfvszljrʀδŋçx][aeouiyɛɔəāōēīūăŏĕĭŭ])","\1ə","e>ə initial unaccentuated free syllable","1000"
"a(́?)(?=[nm])","ã\1","a+n,m > ã","1000"
"e(́?)(?=[nm])","ẽ\1","e+n,m > ẽ","1000"
"áĩ̯","ã́ĩ̯","áĩ̯ > ã́ĩ̯","1000"
"éĩ̯","ẽ́ĩ̯","éĩ̯ > ẽ́ĩ̯","1000"
"úõ(?=[nm])","ýẽ","úõ > ýẽ","1000"
"gw","g","gw>g (germanic gw)","1000"
"([cpbtdkgmnfvszljrʀδŋçx]|^)kʷ","\1k","kʷ>k initial or after consonant","1000"
"([cpbtdkgmnfvszljrʀδŋçx])gʷ","\1g","gʷ>g after consonant","1000"
"lˠ(?=[cpbtdkgmnfvszljrʀδŋçx])","u̯","lˠ>u̯ before consonant","1000"
"ɛ́u̯(?=[cpbtdkgmnfvszljrʀδŋçx])","ɛ́au̯","ɛ́u̯ before consonant > ɛ́au̯","1010"
"óu̯(?=[cpbtdkgmnfvszljrʀδŋçx]?r?[aeouiyɛɔəāōēīūăŏĕĭŭ]|$)","éu̯","open syllable óu̯>éu̯","1050"
"(?<!í)ẽ","ã","ẽ without í before> ã","1050"
"z(?=[bdgvmln])","","disparition of z before sonore consonants","1050"
"ó(?=[rs][cpbtdkgmnfvszljrʀδŋçx])","ú","accentuated o in closed syllable> u","1100"
"ɔ́(?=[sz][cpbtdkgmnfvszljrʀδŋçx]?)","ó","accentuated ɔ before s,z> o","1100"
"ɔ́(?=[sz][cpbtdkgmnfvszljrʀδŋçx] ə)","ú","accentuated ɔ before s,z and ə> u","1100"
"úo(?=[cpbtdkgmnfvszljrʀδŋçx]?r?[aeouiyɛɔəāōēīūăŏĕĭŭ]|$)","úe","open syllable úo>úe","1100"
"e(́?)i̯","ɔ\1i̯","ei̯>ɔi̯","1100"
"éu̯(?=[cpbtdkgmnfvszljrʀδŋçx]?r?[aeouiyɛɔəāōēīūăŏĕĭŭ]|$)","ǿu̯","open syllable éu̯>ǿu̯","1100"
"a(́?)i̯","ɛ\1i̯","ai̯ >ɛi̯","1100"
"(^[cpbtdkgmnfvszljrʀδŋçx])e(?=[cpbtdkgmnfvszljrʀδŋçx]{2})","\1ɛ","e>ɛ initial unaccentuated not free syllable","1100"
"ã́ĩ̯","ẽ́ĩ̯","ã́ĩ̯ > ẽ́ĩ̯","1100"
"ã́ĩ̯","ẽ́ĩ̯","ã́ĩ̯ > ẽ́ĩ̯","1100"
"óũ̯(?=[nm])","ṍ","óũ̯ > ṍ","1100"
"óĩ̯","ṍĩ̯","ṍĩ̯> ṍĩ̯","1100"
"e(?=́?u̯[cpbtdkgmnfvszljrʀδŋçx])","œ","eu̯ before consonant > œu̯","1100"
"([oɔ])u̯(?=[cpbtdkgmnfvszljrʀδŋçx])","u","ou̯ or ɔu̯ before consonant > u","1100"
"ɔ́(?=s[cpbtdkgmnfvszljrʀδŋçx])","ó","accentuated ɔ before s+consonant> o","1110"
"ɛ(́?)i̯","ɛ\1","ɛi̯ > ɛ","1110"
"([cpbtdkgmnfvszljrʀδŋçx])[cpkgmnfvszljrʀδŋçx]([cpbtdkgmnfvszljrʀδŋçx])","\1\2","central of 3 consonants out","1110"
"úe(?=[cpbtdkgmnfvszljrʀδŋçx]?r?[aeouiyɛɔəāōēīūăŏĕĭŭ]|$)","ýø","open syllable úe>ýø","1150"
"ɔ(́?)i̯","u\1e","ɔi̯>ue","1150"
"(^[cpbtdkgmnfvszljrʀδŋçx])o(?![̃́])","\1u","o>u initial unaccentuated syllable","1150"
"o(́?)(?=[nm])","õ\1","o+n,m > õ","1150"
"íẽ(?=[nm])","jẽ́","íẽ > jẽ́","1150"
"ýẽ(?=[nm])","ɥẽ́","ýẽ > ɥẽ́","1150"
"ṍĩ̯","ṹẽ","ṍĩ̯> ṹẽ","1150"
"(œ́?)u̯(?=[cpbtdkgmnfvszljrʀδŋçx])","\1","œu̯ before consonant > œ","1150"
"ɛ́au̯(?=[cpbtdkgmnfvszljrʀδŋçx])","ɛáu̯","ɛ́au̯ before consonant > ɛáu̯","1150"
"([cpbtdkgmnfvszljrʀδŋçx])t$","\1","final t after consonant>zero","1150"
"s(?=[ptkf])","","disparition of s before mute consonants","1150"
"ɥẽ́(?=[nm])","ɥɛ̃́","ɥẽ́ > ɥɛ̃́","1160"
"ɛáu̯(?=[cpbtdkgmnfvszljrʀδŋçx])","əáu̯","ɛáu̯ before consonant > əáu̯","1160"
"ṹẽ","wẽ́","ṹẽ> wẽ́","1170"
"s$","","final s>zero","1170"
"[cpbtdkgmnfvszljʀδŋçx]$","","final consonant other than r>zero ","1190"
"(.*aeouiyɛɔəāōēīūăŏĕĭŭ.*aeouiyɛɔəāōēīūăŏĕĭŭ)[cpbtdkgmnfvszljʀδŋçx]$","","final consonant other than r>zero except monosyllabic","1190"
"íe(?=[cpbtdkgmnfvszljrʀδŋçx]?r?[aeouiyɛɔəāōēīūăŏĕĭŭ]|$)","jé","open syllable íe>jé","1200"
"ýø(?=[cpbtdkgmnfvszljrʀδŋçx]?r?[aeouiyɛɔəāōēīūăŏĕĭŭ]|$)","ǿ","open syllable ýø>ǿ","1200"
"u(́?)e","we\1","ue>we","1200"
"ǿu̯(?=[cpbtdkgmnfvszljrʀδŋçx]?r?[aeouiyɛɔəāōēīūăŏĕĭŭ]|$)","ǿ","open syllable ǿu̯>ǿ","1200"
"ýi̯(?=[cpbtdkgmnfvszljrʀδŋçx])","ɥí","ýi̯>ɥí","1200"
"õ","ɔ̃","õ > ɔ̃","1200"
"i(?=[nm](?![aeouiyɛɔəāōēīūăŏĕĭŭ]))","ĩ","i+n,m closed syllable> ĩ","1200"
"y(?=[nm](?![aeouiyɛɔəāōēīūăŏĕĭŭ]))","ỹ","y+n,m closed syllable> ỹ","1200"
